transaction_id,user_id,amount,timestamp,merchant,transaction_type,location,device_info,is_fraud,hour,user_id_enc,merchant_enc,transaction_type_enc,location_enc,device_enc,avg_amount_per_user,txn_count_per_user,amount_dev,is_odd_hour,device_risk_score,avg_amount,txn_count,avg_hour,amount_deviation_score,hour_deviation_score
1,user_19,2461.23,2026-09-16 07:27:50.153465,Walmart,refund,Bangalore,iOS,0,7,10,4,0,0,2,3644.202786885246,122,-1182.972786885246,0,0.5,3644.202786885246,122.0,11.295081967213116,1182.972786885246,4.295081967213116
2,user_32,2491.98,2026-08-15 10:47:30.153465,Amazon,send,Mumbai,iOS,0,10,25,0,2,3,2,3596.741,130,-1104.761,0,0.5,3596.741,130.0,11.0,1104.761,1.0
3,user_43,15881.51,2026-09-06 16:57:08.153465,Amazon,request,Delhi,Android,0,16,37,0,1,2,0,15429.552764227645,123,451.9572357723573,0,0.1,15429.552764227645,123.0,12.235772357723578,451.9572357723555,3.7642276422764223
4,user_34,4262.33,2026-09-13 03:28:36.153465,Walmart,request,Bangalore,Android,0,3,27,4,1,0,0,4524.1720000000005,120,-261.8420000000005,1,0.1,4524.1720000000005,120.0,12.133333333333333,261.84200000000055,9.133333333333333
5,user_20,56006.72,2026-08-14 11:54:59.153465,Amazon,send,Mumbai,Android,0,11,12,0,2,3,0,19935.082280701758,114,36071.63771929825,0,0.1,19935.082280701758,114.0,11.929824561403509,36071.63771929825,0.9298245614035086
6,user_21,21393.89,2026-09-02 09:04:44.153465,Flipkart,request,Delhi,iOS,1,9,13,1,1,2,2,4244.438115942029,138,17149.45188405797,0,0.5,4244.438115942029,138.0,11.717391304347826,17149.45188405797,2.717391304347826
7,user_22,92811.47,2026-08-14 17:29:11.153465,Zomato,request,Chennai,Android,1,17,14,5,1,1,0,18343.150086206897,116,74468.31991379311,0,0.1,18343.150086206897,116.0,11.982758620689657,74468.31991379311,5.017241379310343
8,user_49,12818.51,2026-09-03 02:52:55.153465,Swiggy,request,Pune,Web,0,2,43,3,1,4,1,19333.43277227723,101,-6514.922772277228,1,0.2,19333.43277227723,101.0,10.574257425742577,6514.922772277228,8.574257425742577
9,user_50,481.69,2026-08-17 16:38:10.153465,Zomato,refund,Mumbai,Web,0,16,45,5,0,3,1,4276.488269230769,104,-3794.798269230769,0,0.2,4276.488269230769,104.0,10.875,3794.798269230769,5.125
10,user_29,2491.86,2026-09-06 04:04:17.153465,Amazon,send,Mumbai,Android,0,4,21,0,2,3,0,4165.22631147541,122,-1673.3663114754097,1,0.1,4165.22631147541,122.0,11.262295081967212,1673.3663114754095,7.262295081967212
