transaction_id,user_id,amount,timestamp,merchant,transaction_type,location,device_info,is_fraud,hour,user_id_enc,merchant_enc,transaction_type_enc,location_enc,device_enc,avg_amount_per_user,txn_count_per_user,amount_dev,is_odd_hour,device_risk_score
1,user_19,2461.23,2026-09-16 07:27:50.153465,Walmart,refund,Bangalore,iOS,0,7,10,4,0,0,2,3644.202786885246,122,-1182.972786885246,0,0.5
2,user_32,2491.98,2026-08-15 10:47:30.153465,Amazon,send,Mumbai,iOS,0,10,25,0,2,3,2,3596.741,130,-1104.761,0,0.5
3,user_43,15881.51,2026-09-06 16:57:08.153465,Amazon,request,Delhi,Android,0,16,37,0,1,2,0,15429.552764227643,123,451.9572357723573,0,0.1
4,user_34,4262.33,2026-09-13 03:28:36.153465,Walmart,request,Bangalore,Android,0,3,27,4,1,0,0,4524.1720000000005,120,-261.84200000000055,1,0.1
5,user_20,56006.72,2026-08-14 11:54:59.153465,Amazon,send,Mumbai,Android,0,11,12,0,2,3,0,19935.082280701754,114,36071.63771929825,0,0.1
6,user_21,21393.89,2026-09-02 09:04:44.153465,Flipkart,request,Delhi,iOS,1,9,13,1,1,2,2,4244.438115942029,138,17149.45188405797,0,0.5
7,user_22,92811.47,2026-08-14 17:29:11.153465,Zomato,request,Chennai,Android,1,17,14,5,1,1,0,18343.150086206897,116,74468.31991379311,0,0.1
8,user_49,12818.51,2026-09-03 02:52:55.153465,Swiggy,request,Pune,Web,0,2,43,3,1,4,1,19333.43277227723,101,-6514.922772277228,1,0.2
9,user_50,481.69,2026-08-17 16:38:10.153465,Zomato,refund,Mumbai,Web,0,16,45,5,0,3,1,4276.488269230769,104,-3794.798269230769,0,0.2
10,user_29,2491.86,2026-09-06 04:04:17.153465,Amazon,send,Mumbai,Android,0,4,21,0,2,3,0,4165.22631147541,122,-1673.3663114754095,1,0.1
11,user_36,969.39,2026-09-10 12:51:21.153465,Amazon,request,Mumbai,Android,0,12,29,0,1,3,0,4483.898691588785,107,-3514.5086915887855,0,0.1
12,user_34,754.87,2026-08-09 05:25:33.153465,Zomato,request,Chennai,iOS,0,5,27,5,1,1,2,4524.1720000000005,120,-3769.3020000000006,1,0.5
13,user_24,15978.98,2026-08-30 07:43:31.153465,Paytm,refund,Mumbai,iOS,0,7,16,2,0,3,2,20664.321171875,128,-4685.341171874999,0,0.5
14,user_22,13439.03,2026-09-17 16:27:54.153465,Walmart,request,Bangalore,Android,0,16,14,4,1,0,0,18343.150086206897,116,-4904.120086206896,0,0.1
15,user_37,8997.87,2026-08-11 00:27:06.153465,Walmart,send,Chennai,iOS,0,0,30,4,2,1,2,15907.096030534352,131,-6909.226030534352,1,0.5
16,user_22,17642.15,2026-09-11 02:35:16.153465,Walmart,request,Bangalore,iOS,0,2,14,4,1,0,2,18343.150086206897,116,-701.0000862068955,1,0.5
17,user_43,9549.03,2026-09-14 04:04:27.153465,Walmart,refund,Mumbai,Web,0,4,37,4,0,3,1,15429.552764227643,123,-5880.522764227642,1,0.2
