transaction_id,user_id,amount,timestamp,merchant,transaction_type,location,device_info,is_fraud
1,user_19,2461.23,2026-09-16 07:27:50.153465,Walmart,refund,Bangalore,iOS,0
2,user_32,2491.98,2026-08-15 10:47:30.153465,Amazon,send,Mumbai,iOS,0
3,user_43,15881.51,2026-09-06 16:57:08.153465,Amazon,request,Delhi,Android,0
4,user_34,4262.33,2026-09-13 03:28:36.153465,Walmart,request,Bangalore,Android,0
5,user_20,56006.72,2026-08-14 11:54:59.153465,Amazon,send,Mumbai,Android,0
6,user_21,21393.89,2026-09-02 09:04:44.153465,Flipkart,request,Delhi,iOS,1
7,user_22,92811.47,2026-08-14 17:29:11.153465,Zomato,request,Chennai,Android,1
8,user_49,12818.51,2026-09-03 02:52:55.153465,Swiggy,request,Pune,Web,0
9,user_50,481.69,2026-08-17 16:38:10.153465,Zomato,refund,Mumbai,Web,0
10,user_29,2491.86,2026-09-06 04:04:17.153465,Amazon,send,Mumbai,Android,0
11,user_36,969.39,2026-09-10 12:51:21.153465,Amazon,request,Mumbai,Android,0
12,user_34,754.87,2026-08-09 05:25:33.153465,Zomato,request,Chennai,iOS,0
13,user_24,15978.98,2026-08-30 07:43:31.153465,Paytm,refund,Mumbai,iOS,0
14,user_22,13439.03,2026-09-17 16:27:54.153465,Walmart,request,Bangalore,Android,0
15,user_37,8997.87,2026-08-11 00:27:06.153465,Walmart,send,Chennai,iOS,0
16,user_22,17642.15,2026-09-11 02:35:16.153465,Walmart,request,Bangalore,iOS,0
17,user_43,9549.03,2026-09-14 04:04:27.153465,Walmart,refund,Mumbai,Web,0
18,user_50,822.74,2026-09-13 17:14:39.153465,Flipkart,refund,Chennai,Android,0
19,user_18,3993.17,2026-08-06 20:53:18.153465,Zomato,refund,Bangalore,Web,0
20,user_16,2326.83,2026-09-09 07:51:52.153465,Walmart,request,Mumbai,Android,0
21,user_12,16576.55,2026-08-15 15:56:07.153465,Paytm,request,Chennai,Web,0
22,user_4,3133.61,2026-09-03 05:24:54.153465,Swiggy,refund,Delhi,Web,0
23,user_29,614.49,2026-09-07 04:48:23.153465,Walmart,request,Chennai,Android,0
24,user_35,89143.54,2026-08-03 17:24:26.153465,Amazon,refund,Bangalore,Web,1
25,user_37,18693.33,2026-08-09 23:58:02.153465,Swiggy,refund,Chennai,Web,0
26,user_31,2450.31,2026-08-26 17:34:39.153465,Zomato,refund,Bangalore,Android,0
27,user_17,2069.95,2026-08-01 07:03:04.153465,Swiggy,send,Pune,iOS,0
28,user_23,13642.61,2026-09-13 00:17:27.153465,Flipkart,request,Pune,iOS,0
